,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,St,St,St,St,St,St,St,St,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,MM,Pm,Pm,Pm,Pm,Pm,Pm,Pm,Pm,Pm,Pm,KECS,KECS,KECS,KECS,KECS,KECS,KECS,KECS,KECS,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli
Ecoli,0.792112943299,0.412002625232,1.20812277129,0.368907203864,0.613105097886,0.341795258455,0.401012074722,0.763292267991,0.16741974088,0.691308140562,0.855546942958,0.434125966866,0.509295253346,0.125807993817,0.656286236959,0.553151510873,0.520834032141,1.35148702866,0.442046957907,0.870043254335,0.412140577501,0.0576742030201,0.447855024796,0.0217151110582,0.0196887972884,0.0874225174598,0.0316405174632,0.0442658496379,0.0746110598696,0.0690544029272,0.02116581538,0.148266631288,-0.38053274865,0.0187259694767,-0.0174771596931,0.0232150337033,0.0618737237167,0.00569893020513,0.0427535997691,-0.132177498125,0.0240626581131,0.0411303309797,0.0763175007751,-0.0764499925437,0.00188891487649,0.0522967707367,0.076616722606,0.0269804325577,-0.021919353381,0.0986210564347,-0.0369183009397,0.0504576303176,0.000327646318082,0.120498722616,-0.0175044732762,-0.0389137850605,0.0322155611921,0.0795159227929,0.121249996574,-0.0685654021507,0.184903553902,-0.0679202005756,0.00454575239431,0.0773236605669,0.0300057897064,-0.00226341960263,0.0305195056667,-0.0371974150022,0.150964093765,0.193195553346,0.0514467276161,0.0134433321259
Ecoli,0.492500234816,1.21456505782,0.678118869059,0.424427840308,0.658726787413,0.668639300905,0.724328743083,0.951509293245,0.301161293205,0.751557305128,0.966393139437,0.667471770182,0.954072795282,0.576845865363,0.456049978289,0.649327886121,0.390301452127,1.33090489941,0.323687212533,0.966232955977,-0.141166212401,-0.0655426410973,0.402915928375,-0.0645574759839,-0.0856135435051,0.0160547303435,-0.0741772083966,-0.0546101363998,-0.0508743926654,-0.0962261061368,-0.0694503511148,0.252704372971,-0.408364783105,-0.106951102192,-0.175638069138,-0.157538165885,-0.112293672318,-0.151669294346,-0.157162746549,-0.218188696905,-0.125895591129,-0.142324879394,-0.0543812150056,-0.106630176892,-0.0918321053239,-0.0554038575039,-0.0423155155177,-0.128913158816,-0.00324814953074,-0.0476943048427,-0.122801574985,-0.110079197815,-0.214074759893,-0.0735080352288,-0.206172047968,-0.132523592055,-0.0868259905384,-0.0443074993409,-0.0360953804973,-0.198431938904,-0.0738401972394,-0.200974693887,-0.233351248033,-0.123145829766,-0.0826846562149,0.123707672506,-0.213232156863,-0.20069483242,0.0867765994315,0.0150526384496,-0.157919733796,-0.176946627641
Ecoli,0.564025422618,0.243737081451,1.03075662746,0.493270714059,0.625946933504,0.0124117545085,0.230401548215,0.842625289482,0.0267637346283,0.682144775471,0.802932049317,0.705584860937,0.633743984374,0.158921310821,0.507869699323,0.142968101497,0.0998472354204,0.841180300503,0.0513060443063,0.409617607868,0.365728843414,-0.315649980304,-0.17583215856,-0.191103945317,-0.206479926418,-0.180697456359,-0.240012383399,-0.257118610002,-0.258128836569,-0.254305892537,-0.254388557148,-0.179480759682,-0.403987135847,-0.333078332435,-0.244184786118,-0.308343919171,-0.0800301877519,-0.171454711415,-0.215886795374,-0.440802840598,-0.237518604077,-0.249031868162,-0.203537413909,-0.256483773496,-0.193331783498,-0.320607452462,-0.203107764927,-0.375401845749,-0.393206082956,-0.279722672682,-0.314052618986,-0.196414720541,-0.289075763188,-0.366707776338,-0.362859687239,-0.394886153098,-0.306602405084,-0.160135255061,-0.338993542443,-0.334681636703,-0.480466268266,-0.359410969159,-0.417711201358,-0.319351276292,-0.324377979878,-0.416139138419,-0.320703804386,-0.335821468417,-0.776485899114,-0.579294061364,-0.393641508167,-0.338667905339
Ecoli,0.644078882715,0.30618746164,1.87780828866,-0.590314276623,0.826545308055,-0.814492215109,0.0643232792247,1.42659737299,0.440442665127,0.979841477822,0.860397442133,0.437443311334,0.303381956761,-0.0347262675224,0.718092200317,0.342029338716,0.298859669707,0.978796801481,0.162821238798,0.997178091959,0.541700258949,-0.113827504096,0.00223569896157,-0.0780364848184,-0.099956344531,-0.0497309996163,-0.120260673718,0.00553833507005,0.00759647359463,-0.0437004980225,-0.0636700663536,-0.444935438413,-0.379631293278,-0.0552126598124,-0.0930246166947,-0.0426680620382,-0.00837115051506,-0.157522093327,-0.11859112207,-0.281699762206,-0.0840583269915,-0.1185749654,0.025792300395,-0.107725922138,-0.0279983409947,-0.0745781903813,-0.0804662540233,0.0241270868572,-0.167497135523,-0.0592554345812,-0.151953773128,-0.12880348965,-0.0621810780913,-0.111403012605,-0.18485121368,-0.162065420584,-0.168210105325,-0.123880433311,-0.154397923723,0.0389093185212,-0.185920818372,-0.0202356976576,-0.0507381327288,-0.0760749762076,-0.156648102459,-0.375393461666,-0.11325993407,-0.0882796718447,-0.0463505299984,-0.140425962788,-0.0044075590334,-0.0777606643496
Ecoli,0.559230285067,0.318163798183,0.67801567457,0.455250078881,0.554712357173,0.177773396241,0.26443734492,0.794447022832,0.225308805459,0.586173030361,0.504464897168,0.516444846322,0.626329744668,0.100581986652,0.405280824462,0.176685956588,0.0606235865218,0.83468068323,0.0742154235235,0.459425439455,0.254237950622,-0.266700414995,-0.266516270126,-0.25828127622,-0.208135290806,-0.218847965567,-0.244638904964,-0.266745917906,-0.326001368004,-0.274773823525,-0.314494247729,-0.187169460915,-0.437723112871,-0.369693359841,-0.248288630627,-0.323890752468,-0.323465531736,-0.318355185974,-0.257277129906,-0.454867118417,-0.346536469541,-0.252674954806,-0.216804436028,-0.313938016074,-0.26537080358,-0.348231717079,-0.199756644445,-0.425184569963,-0.391549022553,-0.304252947489,-0.328063150301,-0.246828923217,-0.445028176658,-0.397379445362,-0.415233862397,-0.484614733448,-0.344888096837,-0.187745725033,-0.371348794495,-0.498636991199,-0.474224235487,-0.452176379174,-0.515336013632,-0.448161749306,-0.33886072078,-0.503441817946,-0.400317862933,-0.38501129582,-0.697479411134,-0.528810588013,-0.452204796441,-0.364909094558
Ecoli,0.622756958233,0.147184414504,1.02875658076,0.351880770231,0.519622140717,0.102524457845,0.432273529576,0.555622625865,0.0231108744971,0.6170598816,0.703804983868,0.714824373289,0.386435929623,0.168238267857,0.310356747937,0.529856659344,0.348029973632,1.22525169435,0.374568760418,0.784197664364,1.0114144943,-0.116315491776,0.135942658186,-0.103176158659,-0.0931388718006,-0.0113040507186,-0.108938821275,-0.0465524237791,-0.0853822610835,-0.0344001173182,-0.128481103971,-0.219838431744,-0.339081253147,-0.0373264340334,-0.126345115876,-0.139888113834,-0.100593097875,0.0214300278515,-0.0523405794413,-0.173856141744,-0.13397785799,-0.101626152635,-0.0903075160196,-0.160344260511,-0.126901623903,-0.130831144435,-0.0714936923629,-0.201684380178,-0.193360138377,-0.127557068776,-0.167549148096,-8.1763342531e-05,-0.215092498195,-0.00924314656693,-0.203392849386,-0.118888091005,-0.0893284411288,-0.0606985751759,-0.150216736273,-0.189949785893,-0.246116060381,-0.121283121316,-0.189402354578,-0.1842555738,-0.181130418481,-0.364976103423,-0.0871288929853,-0.189318099617,-0.185791771028,-0.250275413958,-0.146731653986,-0.134809614917
Ecoli,0.895559190871,0.781596423325,0.951884336554,0.706153579451,0.371601210896,0.537972451573,1.00875326097,0.825347037084,1.00072172921,0.54465685897,0.707087313833,0.738980596903,0.72560173751,0.238445871323,0.729164595551,0.266310084854,0.34940707686,1.5716311384,0.625382982516,1.05840753417,2.02754303787,-0.0981577623218,-0.124082686857,-0.107933389327,-0.159487223883,-0.069123340712,-0.196320234677,-0.134019328789,-0.0114145589121,-0.146288974179,-0.241580802661,-0.0184171187566,-0.13433610489,-0.222369663343,-0.206593770065,-0.165509066092,-0.0674952399257,-0.166912508322,-0.336918802317,-0.416926712059,-0.278341207813,-0.16529539207,-0.135248614778,-0.248017919171,-0.17653317783,-0.180886694701,-0.0600308612521,-0.0566719227841,-0.207993175054,-0.142191111419,-0.223356411467,0.275654555992,-0.201339435686,-0.00848971587077,-0.208682493263,-0.0303519142718,-0.133880310632,-0.0659555673401,0.0459820345854,-0.0492331967939,-0.034243192787,-0.167483538684,-0.00720557793617,-0.0687917131492,-0.0643991601821,-0.29065209193,-0.194151511594,-0.11131658454,-0.00964404466357,-0.106496249248,-0.00514125362414,-0.271135773924
Ecoli,0.614641761486,0.424409458694,1.03908363273,0.54472228543,0.680435781965,0.225893606444,0.392427148766,0.919481117178,0.0578704325167,0.71808186141,0.831248832372,0.642826570856,0.641765829664,0.402011885927,0.698766562219,0.151167090491,0.304747206229,0.887748654593,0.126060064129,0.442002480731,0.485732159845,-0.223523711066,-0.088803487315,-0.120717431789,-0.121173755154,-0.0842683280452,-0.163641488743,-0.236193039222,-0.135490395933,-0.182464875064,-0.200889568302,-0.22151807312,-0.3310491084,-0.283963342175,-0.149801167684,-0.21246855735,-0.225363814275,-0.204610577727,-0.196897633532,-0.4101124302,-0.225891122433,-0.0913407314987,-0.1123826913,-0.192829560998,-0.154553654344,-0.194266170508,-0.114930259943,-0.216880567307,-0.298150017377,-0.126943404012,-0.226522917445,-0.478521305878,-0.201802230963,-0.212973207537,-0.22160297611,-0.278287182956,-0.162153490396,-0.0197734831209,-0.170697174482,-0.330483218646,-0.304723224932,-0.248059555417,-0.288230289362,-0.289336239833,-0.191277703612,-0.247398334766,-0.209829983972,-0.217383658889,-0.469744222894,-0.393628448581,-0.254127509859,-0.264543447162
Ecoli,0.526155675757,0.310743721598,0.742961772205,0.252964921024,0.295304200092,-0.0749829440608,0.559480978849,0.135129839427,0.291062053873,0.615444524495,0.0143033180897,0.374967343179,0.394570914623,-0.110811802515,0.465749781953,0.407897347814,0.286982577862,1.37807467184,0.388059844837,0.90583740574,1.30087252015,-0.0488085943393,-0.184949687305,-0.0838303835364,-0.104499208911,-0.0891973353658,-0.0544436304367,-0.101768386198,-0.0885246705318,-0.052870685183,-0.0836221052473,-0.234411926657,-0.399891260896,-0.168038368912,-0.194743138193,-0.147097002273,-0.0932627342522,-0.00032496279469,-0.173677805877,-0.370777823701,-0.182473816385,0.0606414687333,-0.0792911060302,-0.149304810043,-0.0827104646416,-0.197814007461,-0.11445482156,-0.211247676142,-0.159761992168,-0.209490800705,-0.233755901129,-0.179828383335,-0.123454619978,-0.0918392195623,-0.236411735661,-0.392646651688,-0.227283270641,-0.153623493814,-0.17123172888,-0.207648017123,-0.0795345184902,-0.200294588421,-0.0339595740486,-0.133741597573,-0.0772062591996,-0.306292795948,-0.168703118117,-0.202649937314,-0.221240089048,-0.109905495114,-0.120276158406,-0.217434541268
Ecoli,0.595676623821,0.863428122545,0.663801425122,0.527287087351,0.686956407206,0.799981609474,0.816072571614,1.01899171411,0.260820843236,0.693558445979,1.10112868655,0.658857605337,1.31000709295,0.690994865992,0.190134621822,0.560992268722,0.342709033025,1.28965112819,0.762120058514,0.956105999014,-0.053857769318,-0.0993332826409,0.298956081312,-0.12074541417,-0.263671721817,-0.035420411456,0.0780753274958,-0.0186469895028,-0.0689681360786,-0.014122717766,-0.0829508321715,0.285197663863,-0.320210319267,-0.0821513985669,-0.175818579062,-0.292002030047,-0.218734273981,-0.176478691624,-0.146339177542,-0.17526146599,-0.105298662015,-0.112124036787,-0.190353325265,-0.122248755909,-0.072481901078,-0.289620763833,-0.228476006113,-0.142115663705,0.0225964659898,-0.222534286953,-0.144585868822,-0.188874331403,0.407683778371,-0.267889968087,-0.181321704813,-0.143962303052,-0.108453527424,-0.120145532907,-0.203341855391,0.0878783593851,0.338505382664,-0.151143487632,-0.194830281708,0.14839457376,-0.115734293263,0.108740317687,-0.164327446232,-0.212222961117,-0.207095438887,0.53433238229,0.21160459286,-0.157563299529
Ecoli,0.751281504156,0.455728599097,0.81737125037,0.160989640732,0.503986429704,0.171588749052,0.312562447901,0.32311890498,0.149072895387,0.597209408861,0.407200135411,0.471695197737,0.330293832386,0.20051152825,0.42805241667,0.586901439873,0.505527614065,1.38466315643,0.437990508878,0.945021463204,0.380014641752,-0.0453033960168,0.2982818211,-0.0783615133397,-0.0794165562473,0.0199228161516,-0.0177144891749,-0.0572574128578,0.0696766110171,0.0201531540898,-0.04109078064,0.216867900547,-0.40682815163,-0.109250739442,-0.0752143454975,-0.066278241574,0.0427511085826,0.0780462853788,-0.133369348612,-0.2485606591,0.0755201887919,0.0169122777869,-0.051402605625,-0.142997702806,-0.0943721428985,-0.0521919612256,-0.0295240160466,-0.108022076693,-0.0801633799541,-0.0510670778712,-0.129778124954,-0.0376739755688,-0.167066867472,-0.0734760918321,-0.107339383437,-0.18993355871,-0.0932389462902,-0.0610094702361,-0.0453988691165,-0.26594608654,-0.0126210210736,-0.17236765763,-0.225939656776,-0.0741074429231,-0.0879154364373,0.103321458192,-0.0700408203936,-0.197765515144,-0.112501250126,-0.143051317944,-0.122074497069,-0.133276430844
Ecoli,0.410063784635,0.190643995693,1.52544783581,-0.485896453792,0.654136565335,-0.4522408693,0.0996758183401,1.35337227788,0.475256309734,0.72018061227,0.470825978524,0.176769757369,0.388434642818,0.19934303269,0.778371991758,0.34500487278,0.257673588118,1.05213251349,0.236564446844,0.98778232429,0.718425036496,-0.0426251713502,-0.0362378096368,-0.0306237571047,-0.0729250029071,-0.00757648924596,-0.117058571894,-0.0280264988183,-0.00509176104171,-0.0715360025051,-0.0806798922992,-0.488578894219,-0.315382175678,-0.132865614304,-0.120044860405,-0.0244752604631,0.0460897594516,-0.223839555969,-0.140357586736,-0.348397482556,-0.222128529124,-0.176861458299,0.0427564742073,-0.160137355932,-0.193154574621,-0.0722720707602,-0.123158350561,-0.0311431320294,-0.217180975354,-0.0598263130497,-0.13565034459,-0.37338572307,-0.244393043565,-0.0393396042205,-0.225058959538,-0.206153920904,-0.166587359051,0.00269995184747,-0.160031273341,-0.0166673213088,-0.142818233579,-0.205072053912,-0.107744878215,-0.00732051973966,-0.196959977588,-0.507539678403,-0.292779307979,-0.144350601185,-0.0228558053042,-0.195529235449,-0.0833646308223,-0.321823156261
Ecoli,0.425408379108,0.630665050267,0.812587730669,0.298564889197,0.493363036439,0.0427043497775,0.722157822881,0.723594616975,0.209341134696,0.571679188785,0.760404253086,0.679854320675,0.825492995665,0.653991921265,0.29942510239,0.569933406351,0.405072164249,1.1593918475,0.368264257658,0.764644712764,0.811309477621,-0.116743130295,0.125605515681,-0.0919657825406,-0.0803021921701,-0.0573603142205,-0.0934994920892,-0.031398153311,-0.0856073340285,-0.072943966794,-0.11188008863,-0.275924846964,-0.257273120363,-0.0638021203472,-0.153578123769,-0.104514995433,-0.127635436555,-0.033421011981,-0.0986573874589,-0.1570908178,-0.133783310067,-0.123729225505,-0.0809621902681,-0.194219367876,-0.115804475548,-0.14423492878,-0.0539166587165,-0.200520530071,-0.116058243965,-0.147783304655,-0.163846151043,0.340369916503,-0.135407975162,-0.0714369808904,-0.199525088587,-0.144578854592,-0.137266622776,-0.0992848764559,-0.160343673554,-0.239999175044,-0.215048901569,-0.195138273128,-0.207534607189,-0.198518782489,-0.180603533442,-0.245889042339,-0.139720482735,-0.192810801075,0.264407943962,-0.195159216051,-0.172352639975,-0.126118603928
Ecoli,0.229426810235,0.248310743957,0.552786176283,0.0580402970888,0.576495773121,-0.315718704715,0.182419635317,0.582215452255,0.40833166228,0.315170529123,0.659568783561,0.358668355773,0.484804245257,0.0460676042214,0.657739201689,0.487259695728,0.41561495701,1.19911445162,0.517796450996,0.643539569872,0.733989126881,-0.152818961957,-0.00204822618385,-0.0326917389667,0.00199301263026,-0.0252531946872,-0.0487504879565,0.0120588983407,-0.00261386316583,0.0865870619807,-0.0608140203762,-0.13359494893,-0.47004911828,-0.210034871715,0.0381763218126,0.0267857375483,-0.0115796359501,-0.0328967945443,-0.103435990966,-0.264961393088,0.0804961740729,0.1425465834,-0.00732184943909,-0.107513108602,0.00136846322693,0.0236869363358,-0.0230370160969,-0.125756903862,-0.0294058346417,-0.00538806961171,-0.0730876651517,-0.0594458574572,-0.0415089908649,-0.0191297015615,-0.071650868691,-0.0745001552013,-0.0946090536507,-0.12442848155,-0.0411142872336,-0.0892087931775,0.053472233774,-0.111012524879,-0.0326583867944,-0.0531847979425,-0.151318233327,0.195725076936,-0.0143701376251,-0.117573288905,0.426407608378,-0.0699510089255,-0.0299455868331,-0.0685162458053
Ecoli,0.770450709337,0.392706934284,0.911476441754,0.479980939933,0.819202925027,0.159254120805,0.478507121854,0.772521557258,0.632221379018,0.744389478647,0.855093693759,0.554451906592,0.697342418231,0.124348193326,0.725526951581,0.550357865312,0.420881922622,1.28714220035,0.446435955549,0.654294339733,0.559520069069,-0.0431743737794,0.024454633056,0.00812192766908,0.0197030144919,0.0169035270022,0.00843561990109,0.0205418637975,0.0514857658637,0.00293100041861,0.0233262160811,-0.123863523159,-0.571403607087,-0.127292404223,-0.0127649666267,0.067391229543,0.0673133552221,0.0431172464132,-0.104525364494,-0.0623352541139,0.0352828738774,0.0572856890734,-0.0246151933373,-0.0630580389257,0.028266997347,0.0107947267259,-0.0179487392091,-0.0290044723108,0.021113238658,0.000970528884444,-0.054591094579,-0.418277360605,-0.0359009664152,0.0689612576539,-0.034979097537,-0.0192369391279,-0.0480570314769,-0.0331453480146,-0.0249369881977,-0.137333606172,0.130492592645,-0.0654107307351,0.143995922938,0.000800979130552,-0.0949818826997,-0.0897468021287,-0.00263419645103,-0.0781942279986,0.0535158377073,0.104790012952,0.00570439893521,-0.0477384624017
Ecoli,0.577561846936,0.0623881482421,0.656920030223,-0.0937448395888,0.467813670536,0.513500223832,0.159475648412,0.594032949519,-0.219500906308,0.454618190542,0.426286693215,0.136481698688,0.193512619271,0.0071204890409,0.639285274322,0.464015297424,0.192829158086,0.721446500666,0.433568936531,0.681704714527,0.525524543392,-0.0985980659832,-0.109357939164,-0.0579113772458,-0.0420234868565,-0.0183667814164,-0.0281481583676,0.0296751061576,0.0684101417329,0.0183174072557,-0.487938900976,-0.0554306202765,-0.379592119265,-0.210943426414,-0.00961724783148,0.183666402084,0.176976547649,-0.0315992385165,-0.117713005609,-0.221379158771,0.0494795455391,0.0619946946026,-0.0250970426112,-0.100172994144,-0.0126306822878,0.00858613343213,-0.0517440380625,-0.111245040004,-0.00845189686632,0.0500733405464,-0.0864798164748,-0.473684186193,0.0260546114779,-0.0136752413264,-0.0839184051623,-0.0464801697621,-0.100674047657,-0.10773249324,-0.0581738480423,-0.00842185446857,0.148981226914,-0.0967191819818,0.0715734988021,0.0909385472188,-0.164594812064,-0.0765222642128,0.0490565096487,-0.0929298749789,0.000137990478876,0.0956125886196,0.0326946570045,-0.0130289898642
Ecoli,0.690142220185,0.0339568834782,1.04688353106,0.195361005794,0.551116629337,-0.801439389434,0.297220511558,0.786449573381,-0.0555309659109,0.68982466712,0.682484940359,0.544049313745,0.335586844778,0.05272118946,0.769311005856,0.630592290724,0.703202406901,1.25787274845,0.54709469665,0.94292370465,1.28173091661,0.146053327434,0.330980685619,0.102078315126,0.114971442385,0.179073621291,0.11954929712,0.171607532735,0.175923549794,0.143309728489,0.124479762444,-0.292544689166,-0.358307876448,0.210491530982,0.183720910575,0.161152906914,0.118871776097,0.178986836122,0.151526210347,-0.0898723784814,0.174649703239,0.152218557337,0.151137860126,0.125420992061,0.139478162983,0.127163875447,0.149521639476,0.189974696668,0.119248627818,0.160072880357,0.0892504932966,0.225021227377,0.183630033698,0.168344666888,0.170769757608,0.164039537787,0.180436531249,0.183563451989,0.0944600913087,0.0772117504467,0.215709345961,0.119900170721,0.1640886768,0.173656372286,0.119009394482,0.102680407374,0.223840668272,0.120184860077,0.221606210211,0.0940237163012,0.156634449858,0.18371575112
