,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,St,St,St,St,St,St,St,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Pm,Pm,Pm,Pm,Pm,Pm,KECS,KECS,KECS,KECS,KECS,KECS,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli
Ecoli,0.0886075949367,0.0759493670886,0.0886075949367,0.177215189873,0.0886075949367,0.113924050633,0.0886075949367,0.0886075949367,0.0886075949367,0.0886075949367,0.0886075949367,0.139240506329,0.0886075949367,0.0253164556962,0.215189873418,0.0886075949367,0.139240506329,0.0886075949367,0.126582278481,0.139240506329,0.0632911392405,0.139240506329,0.126582278481,0.0886075949367,0.0759493670886,0.0759493670886,0.101265822785,0.164556962025,0.0759493670886,0.164556962025,0.0759493670886,0.151898734177,0.177215189873,0.151898734177,0.0506329113924,0.0506329113924,0.0506329113924,0.177215189873,0.227848101266,0.227848101266,0.215189873418,0.227848101266,0.151898734177,0.0886075949367,0.151898734177,0.126582278481,0.177215189873,0.177215189873,0.177215189873,0.0,0.164556962025,0.177215189873,0.126582278481,0.164556962025,0.0253164556962,0.164556962025,0.177215189873,0.177215189873,0.177215189873,0.177215189873,0.189873417722,0.177215189873,0.177215189873
Ecoli,0.0952380952381,0.047619047619,0.0952380952381,0.111111111111,0.0952380952381,0.15873015873,0.0952380952381,0.0952380952381,0.0952380952381,0.0952380952381,0.0952380952381,0.174603174603,0.0952380952381,0.015873015873,0.253968253968,0.0952380952381,0.174603174603,0.0634920634921,0.174603174603,0.174603174603,0.0793650793651,0.174603174603,0.174603174603,0.126984126984,0.190476190476,0.190476190476,0.142857142857,0.301587301587,0.190476190476,0.31746031746,0.190476190476,0.0793650793651,0.222222222222,0.0793650793651,0.15873015873,0.15873015873,0.15873015873,0.253968253968,0.269841269841,0.269841269841,0.269841269841,0.301587301587,0.253968253968,0.031746031746,0.0,0.111111111111,0.111111111111,0.111111111111,0.126984126984,0.142857142857,0.111111111111,0.111111111111,0.126984126984,0.111111111111,0.15873015873,0.142857142857,0.111111111111,0.111111111111,0.111111111111,0.126984126984,0.253968253968,0.111111111111,0.111111111111
Ecoli,0.0833333333333,0.0333333333333,0.0833333333333,0.0,0.0833333333333,0.2,0.0833333333333,0.0833333333333,0.0833333333333,0.0833333333333,0.0833333333333,0.15,0.0833333333333,0.05,0.266666666667,0.0833333333333,0.233333333333,0.0833333333333,0.233333333333,0.216666666667,0.116666666667,0.233333333333,0.233333333333,0.15,0.216666666667,0.216666666667,0.183333333333,0.316666666667,0.216666666667,0.316666666667,0.216666666667,0.0833333333333,0.25,0.0833333333333,0.2,0.2,0.2,0.283333333333,0.3,0.3,0.3,0.283333333333,0.283333333333,0.1,0.133333333333,0.0166666666667,0.0166666666667,0.0333333333333,0.0333333333333,0.25,0.0,0.0,0.0666666666667,0.0166666666667,0.266666666667,0.0333333333333,0.0,0.0,0.0,0.0333333333333,0.283333333333,0.0166666666667,0.0
Ecoli,0.0833333333333,0.0333333333333,0.0833333333333,0.0,0.0833333333333,0.2,0.0833333333333,0.0833333333333,0.0833333333333,0.0833333333333,0.0833333333333,0.15,0.0833333333333,0.05,0.266666666667,0.0833333333333,0.233333333333,0.0833333333333,0.233333333333,0.216666666667,0.116666666667,0.233333333333,0.233333333333,0.15,0.216666666667,0.216666666667,0.183333333333,0.316666666667,0.216666666667,0.316666666667,0.216666666667,0.0833333333333,0.25,0.0833333333333,0.2,0.2,0.2,0.283333333333,0.3,0.3,0.3,0.283333333333,0.283333333333,0.1,0.133333333333,0.0166666666667,0.0166666666667,0.0333333333333,0.0333333333333,0.25,0.0,0.0,0.0666666666667,0.0166666666667,0.266666666667,0.0333333333333,0.0,0.0,0.0,0.0333333333333,0.283333333333,0.0166666666667,0.0
Ecoli,0.0701754385965,0.0350877192982,0.0701754385965,0.0175438596491,0.0701754385965,0.19298245614,0.0701754385965,0.0701754385965,0.0701754385965,0.0701754385965,0.0701754385965,0.175438596491,0.0701754385965,0.0350877192982,0.315789473684,0.0701754385965,0.228070175439,0.0877192982456,0.228070175439,0.210526315789,0.122807017544,0.245614035088,0.228070175439,0.175438596491,0.245614035088,0.245614035088,0.210526315789,0.350877192982,0.245614035088,0.350877192982,0.245614035088,0.0701754385965,0.280701754386,0.0701754385965,0.228070175439,0.228070175439,0.228070175439,0.298245614035,0.333333333333,0.315789473684,0.298245614035,0.315789473684,0.315789473684,0.105263157895,0.157894736842,0.0350877192982,0.0350877192982,0.0,0.0526315789474,0.263157894737,0.0,0.0350877192982,0.105263157895,0.0,0.298245614035,0.0350877192982,0.0350877192982,0.0175438596491,0.0175438596491,0.0526315789474,0.315789473684,0.0350877192982,0.0350877192982
Ecoli,0.010101010101,0.0,0.010101010101,0.020202020202,0.010101010101,0.010101010101,0.010101010101,0.010101010101,0.010101010101,0.010101010101,0.010101010101,0.0,0.010101010101,0.0,0.030303030303,0.010101010101,0.040404040404,0.020202020202,0.030303030303,0.030303030303,0.020202020202,0.040404040404,0.030303030303,0.030303030303,0.0505050505051,0.040404040404,0.040404040404,0.0909090909091,0.040404040404,0.0707070707071,0.040404040404,0.010101010101,0.020202020202,0.010101010101,0.010101010101,0.010101010101,0.010101010101,0.020202020202,0.0505050505051,0.0505050505051,0.040404040404,0.0606060606061,0.030303030303,0.020202020202,0.030303030303,0.030303030303,0.030303030303,0.030303030303,0.030303030303,0.0,0.010101010101,0.020202020202,0.020202020202,0.010101010101,0.0,0.0,0.020202020202,0.020202020202,0.010101010101,0.030303030303,0.0,0.030303030303,0.020202020202
Ecoli,0.0945945945946,0.0810810810811,0.0945945945946,0.148648648649,0.0945945945946,0.189189189189,0.0945945945946,0.0945945945946,0.0945945945946,0.0945945945946,0.0945945945946,0.189189189189,0.0945945945946,0.0405405405405,0.27027027027,0.0945945945946,0.202702702703,0.0675675675676,0.202702702703,0.202702702703,0.108108108108,0.202702702703,0.202702702703,0.162162162162,0.202702702703,0.202702702703,0.189189189189,0.310810810811,0.202702702703,0.297297297297,0.202702702703,0.108108108108,0.243243243243,0.108108108108,0.135135135135,0.135135135135,0.135135135135,0.27027027027,0.297297297297,0.297297297297,0.297297297297,0.297297297297,0.283783783784,0.0,0.0945945945946,0.148648648649,0.162162162162,0.162162162162,0.162162162162,0.148648648649,0.148648648649,0.162162162162,0.135135135135,0.148648648649,0.175675675676,0.175675675676,0.162162162162,0.148648648649,0.148648648649,0.175675675676,0.283783783784,0.162162162162,0.162162162162
Ecoli,0.0877192982456,0.0701754385965,0.0877192982456,0.0175438596491,0.0877192982456,0.245614035088,0.0877192982456,0.0877192982456,0.0877192982456,0.0877192982456,0.0877192982456,0.175438596491,0.0877192982456,0.0701754385965,0.315789473684,0.0877192982456,0.245614035088,0.0877192982456,0.245614035088,0.228070175439,0.122807017544,0.263157894737,0.245614035088,0.175438596491,0.245614035088,0.245614035088,0.210526315789,0.350877192982,0.245614035088,0.350877192982,0.245614035088,0.0877192982456,0.280701754386,0.0877192982456,0.228070175439,0.228070175439,0.228070175439,0.315789473684,0.368421052632,0.368421052632,0.350877192982,0.333333333333,0.333333333333,0.122807017544,0.175438596491,0.0526315789474,0.0526315789474,0.0350877192982,0.0701754385965,0.298245614035,0.0,0.0350877192982,0.105263157895,0.0175438596491,0.315789473684,0.0350877192982,0.0350877192982,0.0175438596491,0.0175438596491,0.0701754385965,0.333333333333,0.0526315789474,0.0350877192982
Ecoli,0.0833333333333,0.0416666666667,0.0833333333333,0.0972222222222,0.0833333333333,0.194444444444,0.0833333333333,0.0833333333333,0.0833333333333,0.0833333333333,0.0833333333333,0.180555555556,0.0833333333333,0.0555555555556,0.277777777778,0.0833333333333,0.236111111111,0.0694444444444,0.222222222222,0.222222222222,0.138888888889,0.222222222222,0.222222222222,0.138888888889,0.180555555556,0.180555555556,0.180555555556,0.305555555556,0.180555555556,0.277777777778,0.180555555556,0.0972222222222,0.277777777778,0.0972222222222,0.180555555556,0.180555555556,0.180555555556,0.263888888889,0.291666666667,0.291666666667,0.291666666667,0.277777777778,0.25,0.138888888889,0.194444444444,0.0833333333333,0.111111111111,0.125,0.111111111111,0.166666666667,0.0972222222222,0.0972222222222,0.0,0.111111111111,0.180555555556,0.0972222222222,0.0972222222222,0.0972222222222,0.0972222222222,0.125,0.277777777778,0.111111111111,0.0972222222222
Ecoli,0.1,0.05,0.1,0.0,0.1,0.233333333333,0.1,0.1,0.1,0.1,0.1,0.183333333333,0.1,0.05,0.283333333333,0.1,0.25,0.0833333333333,0.25,0.233333333333,0.133333333333,0.266666666667,0.25,0.166666666667,0.233333333333,0.233333333333,0.2,0.333333333333,0.233333333333,0.333333333333,0.233333333333,0.0833333333333,0.266666666667,0.0833333333333,0.216666666667,0.216666666667,0.216666666667,0.3,0.316666666667,0.316666666667,0.316666666667,0.3,0.3,0.116666666667,0.15,0.0333333333333,0.0333333333333,0.0333333333333,0.05,0.266666666667,0.0,0.0166666666667,0.1,0.0166666666667,0.283333333333,0.0333333333333,0.0166666666667,0.0,0.0,0.05,0.3,0.0333333333333,0.0166666666667
Ecoli,0.0925925925926,0.0555555555556,0.0925925925926,0.0185185185185,0.0925925925926,0.222222222222,0.0925925925926,0.0925925925926,0.0925925925926,0.0925925925926,0.0925925925926,0.185185185185,0.0925925925926,0.0555555555556,0.277777777778,0.0925925925926,0.240740740741,0.111111111111,0.240740740741,0.222222222222,0.111111111111,0.240740740741,0.240740740741,0.185185185185,0.240740740741,0.240740740741,0.222222222222,0.333333333333,0.240740740741,0.351851851852,0.240740740741,0.0740740740741,0.259259259259,0.0740740740741,0.222222222222,0.222222222222,0.222222222222,0.296296296296,0.314814814815,0.314814814815,0.314814814815,0.296296296296,0.314814814815,0.111111111111,0.148148148148,0.0185185185185,0.0,0.037037037037,0.0185185185185,0.277777777778,0.0185185185185,0.0185185185185,0.0925925925926,0.0185185185185,0.296296296296,0.0555555555556,0.0185185185185,0.0185185185185,0.0185185185185,0.0,0.314814814815,0.0,0.0185185185185
Ecoli,0.0886075949367,0.0632911392405,0.0886075949367,0.164556962025,0.0886075949367,0.101265822785,0.0886075949367,0.0886075949367,0.0886075949367,0.0886075949367,0.0886075949367,0.113924050633,0.0886075949367,0.0253164556962,0.20253164557,0.0886075949367,0.113924050633,0.0759493670886,0.101265822785,0.113924050633,0.0632911392405,0.113924050633,0.101265822785,0.0759493670886,0.0632911392405,0.0632911392405,0.0886075949367,0.151898734177,0.0632911392405,0.139240506329,0.0632911392405,0.126582278481,0.151898734177,0.126582278481,0.0379746835443,0.0379746835443,0.0379746835443,0.151898734177,0.20253164557,0.20253164557,0.189873417722,0.20253164557,0.139240506329,0.0886075949367,0.139240506329,0.113924050633,0.164556962025,0.164556962025,0.164556962025,0.0,0.151898734177,0.164556962025,0.113924050633,0.151898734177,0.0,0.151898734177,0.164556962025,0.164556962025,0.164556962025,0.164556962025,0.164556962025,0.164556962025,0.164556962025
Ecoli,0.0655737704918,0.0655737704918,0.0655737704918,0.0491803278689,0.0655737704918,0.245901639344,0.0655737704918,0.0655737704918,0.0655737704918,0.0655737704918,0.0655737704918,0.180327868852,0.0655737704918,0.0819672131148,0.327868852459,0.0655737704918,0.262295081967,0.114754098361,0.245901639344,0.245901639344,0.114754098361,0.27868852459,0.245901639344,0.229508196721,0.245901639344,0.245901639344,0.27868852459,0.377049180328,0.245901639344,0.377049180328,0.245901639344,0.0819672131148,0.295081967213,0.0819672131148,0.245901639344,0.245901639344,0.245901639344,0.327868852459,0.360655737705,0.360655737705,0.344262295082,0.344262295082,0.327868852459,0.180327868852,0.213114754098,0.0819672131148,0.0819672131148,0.0655737704918,0.0983606557377,0.262295081967,0.0327868852459,0.0655737704918,0.0983606557377,0.0491803278689,0.27868852459,0.0,0.0655737704918,0.0491803278689,0.0491803278689,0.0983606557377,0.327868852459,0.0819672131148,0.0655737704918
Ecoli,0.0833333333333,0.05,0.0833333333333,0.0,0.0833333333333,0.216666666667,0.0833333333333,0.0833333333333,0.0833333333333,0.0833333333333,0.0833333333333,0.166666666667,0.0833333333333,0.05,0.283333333333,0.0833333333333,0.233333333333,0.0833333333333,0.233333333333,0.216666666667,0.116666666667,0.25,0.233333333333,0.166666666667,0.233333333333,0.233333333333,0.2,0.333333333333,0.233333333333,0.333333333333,0.233333333333,0.0833333333333,0.266666666667,0.0833333333333,0.216666666667,0.216666666667,0.216666666667,0.3,0.316666666667,0.316666666667,0.316666666667,0.3,0.3,0.1,0.15,0.0333333333333,0.0333333333333,0.0333333333333,0.05,0.266666666667,0.0,0.0166666666667,0.0833333333333,0.0166666666667,0.283333333333,0.0333333333333,0.0166666666667,0.0,0.0,0.05,0.3,0.0333333333333,0.0166666666667
Ecoli,0.0862068965517,0.0344827586207,0.0862068965517,0.0,0.0862068965517,0.206896551724,0.0862068965517,0.0862068965517,0.0862068965517,0.0862068965517,0.0862068965517,0.155172413793,0.0862068965517,0.051724137931,0.275862068966,0.0862068965517,0.241379310345,0.0862068965517,0.241379310345,0.224137931034,0.120689655172,0.241379310345,0.241379310345,0.155172413793,0.224137931034,0.224137931034,0.189655172414,0.327586206897,0.224137931034,0.327586206897,0.224137931034,0.0862068965517,0.258620689655,0.0862068965517,0.206896551724,0.206896551724,0.206896551724,0.293103448276,0.310344827586,0.310344827586,0.310344827586,0.293103448276,0.293103448276,0.103448275862,0.137931034483,0.0172413793103,0.0172413793103,0.0344827586207,0.0344827586207,0.258620689655,0.0,0.0,0.0689655172414,0.0172413793103,0.275862068966,0.0344827586207,0.0,0.0,0.0,0.0344827586207,0.293103448276,0.0172413793103,0.0
Ecoli,0.0645161290323,0.0322580645161,0.0645161290323,0.0,0.0645161290323,0.177419354839,0.0645161290323,0.0645161290323,0.0645161290323,0.0645161290323,0.0645161290323,0.161290322581,0.0645161290323,0.0483870967742,0.241935483871,0.0645161290323,0.209677419355,0.0806451612903,0.209677419355,0.193548387097,0.112903225806,0.209677419355,0.209677419355,0.129032258065,0.193548387097,0.193548387097,0.161290322581,0.274193548387,0.193548387097,0.290322580645,0.193548387097,0.0483870967742,0.225806451613,0.0483870967742,0.177419354839,0.177419354839,0.177419354839,0.225806451613,0.258064516129,0.258064516129,0.258064516129,0.258064516129,0.258064516129,0.0967741935484,0.129032258065,0.0,0.0,0.0161290322581,0.0,0.241935483871,0.0,0.0,0.0483870967742,0.0,0.258064516129,0.0322580645161,0.0,0.0,0.0,0.0161290322581,0.274193548387,0.0,0.0
Ecoli,0.0819672131148,0.0655737704918,0.0819672131148,0.016393442623,0.0819672131148,0.213114754098,0.0819672131148,0.0819672131148,0.0819672131148,0.0819672131148,0.0819672131148,0.16393442623,0.0819672131148,0.0655737704918,0.262295081967,0.0819672131148,0.229508196721,0.0983606557377,0.229508196721,0.213114754098,0.114754098361,0.229508196721,0.229508196721,0.16393442623,0.229508196721,0.229508196721,0.196721311475,0.311475409836,0.229508196721,0.327868852459,0.229508196721,0.0655737704918,0.245901639344,0.0655737704918,0.213114754098,0.213114754098,0.213114754098,0.27868852459,0.311475409836,0.311475409836,0.311475409836,0.27868852459,0.311475409836,0.0983606557377,0.131147540984,0.016393442623,0.0,0.0327868852459,0.016393442623,0.27868852459,0.016393442623,0.016393442623,0.0819672131148,0.016393442623,0.295081967213,0.0491803278689,0.016393442623,0.016393442623,0.016393442623,0.016393442623,0.311475409836,0.0,0.016393442623
Ecoli,0.0847457627119,0.0508474576271,0.0847457627119,0.0169491525424,0.0847457627119,0.203389830508,0.0847457627119,0.0847457627119,0.0847457627119,0.0847457627119,0.0847457627119,0.169491525424,0.0847457627119,0.0508474576271,0.254237288136,0.0847457627119,0.237288135593,0.101694915254,0.237288135593,0.220338983051,0.118644067797,0.237288135593,0.237288135593,0.169491525424,0.237288135593,0.237288135593,0.203389830508,0.305084745763,0.237288135593,0.322033898305,0.237288135593,0.0508474576271,0.237288135593,0.0508474576271,0.203389830508,0.203389830508,0.203389830508,0.271186440678,0.28813559322,0.28813559322,0.28813559322,0.271186440678,0.28813559322,0.101694915254,0.135593220339,0.0169491525424,0.0,0.0338983050847,0.0,0.254237288136,0.0169491525424,0.0169491525424,0.0847457627119,0.0169491525424,0.271186440678,0.0508474576271,0.0169491525424,0.0169491525424,0.0169491525424,0.0169491525424,0.28813559322,0.0,0.0169491525424
Ecoli,0.0833333333333,0.05,0.0833333333333,0.0166666666667,0.0833333333333,0.2,0.0833333333333,0.0833333333333,0.0833333333333,0.0833333333333,0.0833333333333,0.166666666667,0.0833333333333,0.05,0.266666666667,0.0833333333333,0.233333333333,0.1,0.233333333333,0.216666666667,0.116666666667,0.233333333333,0.233333333333,0.166666666667,0.233333333333,0.233333333333,0.2,0.316666666667,0.233333333333,0.333333333333,0.233333333333,0.0666666666667,0.25,0.0666666666667,0.216666666667,0.216666666667,0.216666666667,0.283333333333,0.3,0.3,0.3,0.283333333333,0.3,0.1,0.133333333333,0.0166666666667,0.0,0.0333333333333,0.0166666666667,0.266666666667,0.0166666666667,0.0166666666667,0.0833333333333,0.0166666666667,0.283333333333,0.05,0.0166666666667,0.0166666666667,0.0166666666667,0.0166666666667,0.3,0.0,0.0166666666667
